index,label,description,units,sql_datatype,chart_datatype
104,UGAAINV06DC1A,DC Current Input 1,A,DOUBLE,number
105,UGAAINV06DC1V,DC Voltage Input 1,V,DOUBLE,number
106,UGAAINV06DC1W,DC Power Input 1,W,DOUBLE,number
107,UGAAINV06ACW,Active Power Across all lines,W,DOUBLE,number
108,UGAAINV06ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
109,UGAAINV06ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
110,UGAAINV06ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
111,UGAAINV06ACL1A,Grid Current L1,A,DOUBLE,number
112,UGAAINV06ACL2A,Grid Current L2,A,DOUBLE,number
113,UGAAINV06ACL3A,Grid Current L3,A,DOUBLE,number
114,UGAAINV06ACVAR,Reactive Power across all lines,Var,DOUBLE,number
115,UGAAINV06DC2A,DC Current Input 2,I,DOUBLE,number
116,UGAAINV06DC2V,DC Voltage Input 2,V,DOUBLE,number
117,UGAAINV06DC2W,DC Power Input 2,W,DOUBLE,number
118,UGAAINV06ERR,Error Code,,DOUBLE,number
119,UGAAINV07INVSTATUS,Device Status,,DOUBLE,number
120,UGAAINV07ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
121,UGAAINV07ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
122,UGAAINV07DC1A,DC Current Input 1,A,DOUBLE,number
123,UGAAINV07DC1V,DC Voltage Input 1,V,DOUBLE,number
124,UGAAINV07DC1W,DC Power Input 1,W,DOUBLE,number
125,UGAAINV07ACW,Active Power Across all lines,W,DOUBLE,number
126,UGAAINV07ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
127,UGAAINV07ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
128,UGAAINV07ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
129,UGAAINV07ACL1A,Grid Current L1,A,DOUBLE,number
130,UGAAINV07ACL2A,Grid Current L2,A,DOUBLE,number
131,UGAAINV07ACL3A,Grid Current L3,A,DOUBLE,number
132,UGAAINV07ACVAR,Reactive Power across all lines,Var,DOUBLE,number
133,UGAAINV07DC2A,DC Current Input 2,I,DOUBLE,number
134,UGAAINV07DC2V,DC Voltage Input 2,V,DOUBLE,number
135,UGAAINV07DC2W,DC Power Input 2,W,DOUBLE,number
136,UGAAINV07ERR,Error Code,,DOUBLE,number
137,UGAAINV08INVSTATUS,Device Status,,DOUBLE,number
138,UGAAINV08ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
139,UGAAINV08ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
140,UGAAINV08DC1A,DC Current Input 1,A,DOUBLE,number
141,UGAAINV08DC1V,DC Voltage Input 1,V,DOUBLE,number
142,UGAAINV08DC1W,DC Power Input 1,W,DOUBLE,number
143,UGAAINV08ACW,Active Power Across all lines,W,DOUBLE,number
144,UGAAINV08ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
145,UGAAINV08ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
146,UGAAINV08ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
147,UGAAINV08ACL1A,Grid Current L1,A,DOUBLE,number
148,UGAAINV08ACL2A,Grid Current L2,A,DOUBLE,number
149,UGAAINV08ACL3A,Grid Current L3,A,DOUBLE,number
150,UGAAINV08ACVAR,Reactive Power across all lines,Var,DOUBLE,number
151,UGAAINV08DC2A,DC Current Input 2,I,DOUBLE,number
152,UGAAINV08DC2V,DC Voltage Input 2,V,DOUBLE,number
153,UGAAINV08DC2W,DC Power Input 2,W,DOUBLE,number
154,UGAAINV08ERR,Error Code,,DOUBLE,number
155,UGAAPOAREFTEMP,Reference Cell REF01: Temperature Value - from Logger,ºC,DOUBLE,number
156,UGAAMOD1TEMP,Temperature Transmitter TEMOD01: Module Temperature Value - from Logger,ºC,DOUBLE,number
157,UGAAMOD2TEMP,Temperature Transmitter TEMOD02: Module Temperature Value - from Logger,ºC,DOUBLE,number
158,UGAASMSREFIRR,Irradiance,w/m2,DOUBLE,number
159,UGAASMSREFSCA,Short Circuit Current,A,DOUBLE,number
160,UGAASMSREFT,PV Temperature,C,DOUBLE,number
161,UGAASMSMODIRR,Irradiance 2,w/m2,DOUBLE,number
162,UGAASMSMODSCA,Short Circuit Current 2,A,DOUBLE,number
163,UGAASMSMODT,PV Temperature 2,C,DOUBLE,number
164,UGAASMSMODMPPW,Maximum Power 2,W,DOUBLE,number
165,UGAASMSSOILRATIO,Soiling Ratio,,DOUBLE,number
166,UGAASMSSOILSCRATIO,Short Circuit Ratio,,DOUBLE,number
167,UGAASMSPWRRATIO,Maximum Power Ratio,,DOUBLE,number
168,UGAAMET02EVENT,Event Code,,DOUBLE,number
169,UGAASMSFLUIDLVL,Wash Unit Fluid Level,,DOUBLE,number
170,UGAASMSMODOCV,Voc OpenCircuit Voltage,V,DOUBLE,number
171,UGAASMSMODMPPV,Vmp MaxPower Voltage,V,DOUBLE,number
172,UGAASMSMODMPPA,Imp MaxPower Current (A),A,DOUBLE,number
