index,label,description,units,sql_datatype,chart_datatype
104,UGAEINV06DC1A,DC Current Input 1,A,DOUBLE,number
105,UGAEINV06DC1V,DC Voltage Input 1,V,DOUBLE,number
106,UGAEINV06DC1W,DC Power Input 1,W,DOUBLE,number
107,UGAEINV06ACW,Active Power Across all lines,W,DOUBLE,number
108,UGAEINV06ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
109,UGAEINV06ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
110,UGAEINV06ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
111,UGAEINV06ACL1A,Grid Current L1,A,DOUBLE,number
112,UGAEINV06ACL2A,Grid Current L2,A,DOUBLE,number
113,UGAEINV06ACL3A,Grid Current L3,A,DOUBLE,number
114,UGAEINV06ACVAR,Reactive Power across all lines,Var,DOUBLE,number
115,UGAEINV06DC2A,DC Current Input 2,I,DOUBLE,number
116,UGAEINV06DC2V,DC Voltage Input 2,V,DOUBLE,number
117,UGAEINV06DC2W,DC Power Input 2,W,DOUBLE,number
118,UGAEINV06ERR,Error Code,,DOUBLE,number
119,UGAEINV07INVSTATUS,Device Status,,DOUBLE,number
120,UGAEINV07ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
121,UGAEINV07ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
122,UGAEINV07DC1A,DC Current Input 1,A,DOUBLE,number
123,UGAEINV07DC1V,DC Voltage Input 1,V,DOUBLE,number
124,UGAEINV07DC1W,DC Power Input 1,W,DOUBLE,number
125,UGAEINV07ACW,Active Power Across all lines,W,DOUBLE,number
126,UGAEINV07ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
127,UGAEINV07ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
128,UGAEINV07ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
129,UGAEINV07ACL1A,Grid Current L1,A,DOUBLE,number
130,UGAEINV07ACL2A,Grid Current L2,A,DOUBLE,number
131,UGAEINV07ACL3A,Grid Current L3,A,DOUBLE,number
132,UGAEINV07ACVAR,Reactive Power across all lines,Var,DOUBLE,number
133,UGAEINV07DC2A,DC Current Input 2,I,DOUBLE,number
134,UGAEINV07DC2V,DC Voltage Input 2,V,DOUBLE,number
135,UGAEINV07DC2W,DC Power Input 2,W,DOUBLE,number
136,UGAEINV07ERR,Error Code,,DOUBLE,number
137,UGAEINV08INVSTATUS,Device Status,,DOUBLE,number
138,UGAEINV08ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
139,UGAEINV08ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
140,UGAEINV08DC1A,DC Current Input 1,A,DOUBLE,number
141,UGAEINV08DC1V,DC Voltage Input 1,V,DOUBLE,number
142,UGAEINV08DC1W,DC Power Input 1,W,DOUBLE,number
143,UGAEINV08ACW,Active Power Across all lines,W,DOUBLE,number
144,UGAEINV08ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
145,UGAEINV08ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
146,UGAEINV08ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
147,UGAEINV08ACL1A,Grid Current L1,A,DOUBLE,number
148,UGAEINV08ACL2A,Grid Current L2,A,DOUBLE,number
149,UGAEINV08ACL3A,Grid Current L3,A,DOUBLE,number
150,UGAEINV08ACVAR,Reactive Power across all lines,Var,DOUBLE,number
151,UGAEINV08DC2A,DC Current Input 2,I,DOUBLE,number
152,UGAEINV08DC2V,DC Voltage Input 2,V,DOUBLE,number
153,UGAEINV08DC2W,DC Power Input 2,W,DOUBLE,number
154,UGAEINV08ERR,Error Code,,DOUBLE,number
155,UGAEPOAREFTEMP,Reference Cell REF01: Temperature Value - from Logger,ºC,DOUBLE,number
156,UGAEMOD1TEMP,Temperature Transmitter TEMOD01: Module Temperature Value - from Logger,ºC,DOUBLE,number
157,UGAEMOD2TEMP,Temperature Transmitter TEMOD02: Module Temperature Value - from Logger,ºC,DOUBLE,number
158,UGAESMSREFIRR,Irradiance,w/m2,DOUBLE,number
159,UGAESMSREFSCA,Short Circuit Current,A,DOUBLE,number
160,UGAESMSREFT,PV Temperature,C,DOUBLE,number
161,UGAESMSMODIRR,Irradiance 2,w/m2,DOUBLE,number
162,UGAESMSMODSCA,Short Circuit Current 2,A,DOUBLE,number
163,UGAESMSMODT,PV Temperature 2,C,DOUBLE,number
164,UGAESMSMODMPPW,Maximum Power 2,W,DOUBLE,number
165,UGAESMSSOILRATIO,Soiling Ratio,,DOUBLE,number
166,UGAESMSSOILSCRATIO,Short Circuit Ratio,,DOUBLE,number
167,UGAESMSPWRRATIO,Maximum Power Ratio,,DOUBLE,number
168,UGAEMET02EVENT,Event Code,,DOUBLE,number
169,UGAESMSFLUIDLVL,Wash Unit Fluid Level,,DOUBLE,number
170,UGAESMSMODOCV,Voc OpenCircuit Voltage,V,DOUBLE,number
171,UGAESMSMODMPPV,Vmp MaxPower Voltage,V,DOUBLE,number
172,UGAESMSMODMPPA,Imp MaxPower Current (A),A,DOUBLE,number
173,UGAETRACKERPOSDEG,Motor position,Deg,DOUBLE,number
174,UGAETRACKERPOSDEGSP,Motor setpoint,Deg,DOUBLE,number
175,UGAETRACKERSTATUS,Status of the tracker,,DOUBLE,number
176,UGAETRACKERCOM,Stow command,,DOUBLE,number
